ONT,1300 Smiles Ltd
FOX,21st Century Fox Inc
TIX,360 Capital Industrial Fund
ABP,Abacus Property Group
ABU,Abm Resources NL
ACR,Acrux Ltd
ABC,Adelaide Brighton Ltd
ABY,Aditya Birla Minerals
AGK,AGL Energy Ltd
AGI,Ainsworth Game Technology Ltd
AJL,AJ Lucas Group Ltd
AQG,Alacer Gold Corp.
ACL,Alchemia Limited
LEP,Ale Property Group
ALK,Alkane Resources Limited
AQZ,Alliance Aviation Services Ltd
ALQ,ALS Ltd
ALU,Altium Limited
AOH,Altona Mining Limited
AWC,Alumina Ltd
AMA,Ama Group Ltd
AHD,Amalgamated Holdings Ltd
AMM,Amcom Telecom Ltd
AMC,Amcor Ltd
AMP,AMP Ltd
AMX,Ampella Mining Ltd
AGG,AngloGold Ashanti Ltd
ANN,Ansell Ltd
AZZ,Antares Energy Limited
ANZ,ANZ Banking Group
APE,AP Eagers Ltd
APA,APA Group
APN,APN News & Media Ltd
AQP,Aquarius Platinum Ltd (Bermuda)
AQA,Aquila Resources
ARP,ARB Corp Ltd
AAD,Ardent Leisure Ltd
ARF,Arena REIT
ALL,Aristocrat Leisure Ltd
ARI,Arrium Ltd
AIO,Asciano Ltd
ASZ,ASG Group Ltd
APZ,Aspen Group
AJA,Astro Japan Property Group
ATR,Astron Corporation Limited
ASX,ASX Limited
AGO,Atlas Iron Limited
AIA,Auckland Intl Airport Ltd
AKP,Audio Pixels Holdings Ltd
AZJ,Aurizon Holdings Limited
AUT,Aurora Oil & Gas Ltd
ASL,Ausdrill Ltd
AAX,Ausenco
ASB,Austal Ltd
AUB,Austbrokers Holdings
ANG,Austin Engineering Limited
ALZ,Australand Property Group
AAC,Australian Agricultural Co
AEU,Australian Education Trust
API,Australian Pharmaceutical Ind
AHE,Automotive Holdings Group Ltd
AVB,Avanco Resources Limited
AVJ,AVJennings Limited
AWE,AWE Ltd
BND,Bandanna Energy Ltd
BOQ,Bank of Queensland Ltd
BSE,Base Resources Limited
BRL,Bathurst Resources (New Zealand) Limited
BCI,BC Iron Limited
BPT,Beach Energy Limited
BDR,Beadell Resources Limited
BGA,Bega Cheese Ltd
BFG,Bell Financial Group Limited
BEN,Bendigo and Adelaide Bank Limited
BHP,BHP Billiton Ltd
BGL,Bigair Group Ltd
BBG,Billabong Intl Ltd
BNO,Bionomics Ltd
BGG,Blackgold International Holdings Limited
BKL,Blackmores Ltd
BTR,Blackthorn Resources Limited
BSL,Bluescope Steel Ltd
BLY,Boart Longyear Limited
BOL,Boom Logistics Ltd
BLD,Boral Ltd
BOC,Bougainville Copper Ltd
BKN,Bradken Ltd
BXB,Brambles Industries Ltd
BRG,Breville Group Ltd
BKW,Brickworks Ltd
BPA,Brookfield Prime Property Fund
BTT,BT Investment Management Ltd
BRU,Buru Energy Limited
BWP,BWP Trust
CAB,Cabcharge Australia Ltd
CGH,Calibre Group Limited
CTX,Caltex Australia Ltd
CFE,Cape Lambert Resources Limited
CDD,Cardno Limited
CDP,Carindale Property Trust
CRZ,Carsales.com Ltd
CCV,Cash Converters International
CWP,Cedar Woods Properties Ltd
CTP,Central Petroleum Ltd
CFU,Ceramic Fuel Cells Ltd
CFX,CFS Retail Property Trust Group
CDI,Challenger Diversified Property Group
CGF,Challenger Limited
CMG,Chandler Macleod
CHC,Charter Hall Group
CQR,Charter Hall Retail REIT
CNU,Chorus Ltd.
CVW,ClearView Wealth Ltd
CLO,Clough Ltd
CZA,Coal of Africa Limited
CPL,Coalspur Mines Ltd
CCU,Cobar Consolidated Resources Ltd
CCL,Coca-Cola Amatil Ltd
COH,Cochlear Ltd
COK,Cockatoo Coal Ltd
CDA,Codan Limited
COF,Coffey International Ltd
CLH,Collection House Ltd
CKF,Collins Foods Ltd
CBA,Commonwealth Bank Australia
CPA,Commonwealth Property Office
CPU,Computershare Ltd
COE,Cooper Energy NL
CTD,Corporate Travel Management Ltd
CUP,Countplus Limited
CTY,Country Road Ltd
CYG,Coventry Group Ltd
CCP,Credit Corp Group Limited
CMW,Cromwell Property Group
CRH,Crowe Horwath Australasia Ltd
CWN,Crown Limited
CSV,CSG Limited
CSL,CSL Ltd
CSR,CSR Ltd
CLX,Cti Logistics Ltd
CDU,Cudeco Limited
CUE,Cue Energy Resources
CVC,CVC Ltd
DTE,Dart Energy Limited
DTL,Data#3 Limited
DJS,David Jones Ltd
DCG,Decmil Group Ltd
DYL,Deep Yellow Limited
DVN,Devine Ltd
DXS,Dexus Property Group
DML,Discovery Metals Ltd
DMP,Domino's Pizza Enterprises Ltd
DNA,Donaco International Ltd
DRM,Doray Minerals Ltd
DOW,Downer EDI Ltd
DLS,Drillsearch Energy Ltd
DUE,Duet Group
DLX,DuluxGroup Ltd
DWS,DWS Ltd
EGP,Echo Entertainment Group
ELM,Elemental Minerals Ltd
EHL,Emeco Holdings
EVR,Endeavour Mining Corporation
ENE,Energy Developments Ltd
ERA,Energy Resources of Australia
EWC,Energy World Corporation Ltd
ENV,Envestra Ltd
EQX,Equatorial Resources Limited
EQT,Equity Trustees Ltd
EPW,ERM Power Ltd
EPX,Ethane Pipeline Income Fund
EZL,Euroz Limited
EVN,Evolution Mining Ltd
FXJ,Fairfax Media Ltd
FAN,Fantastic Holdings Ltd
FDC,Federation Centres
FRI,Finbar Group Limited
FAR,First Australian Resources Ltd
FPH,Fisher & Paykel Healthcare Corp
FKP,FKP Property Group
FWD,Fleetwood Corp Ltd
FBU,Fletcher Building Ltd
FXL,FlexiGroup Limited
FLT,Flight Centre Ltd
FMS,Flinders Mines Limited
FML,Focus Minerals Ltd
FSF,Fonterra Shareholders Fund
FGE,Forge Group Ltd
FMG,Fortescue Metals Group
FUN,Funtastic Ltd
GEM,G8 Education Limited
GXY,Galaxy Resources Ltd
GAP,Gale Pacific Ltd
GZL,Gazal Corporation Limited
GBG,Gindalbie Metals Ltd
GCS,Global Construction Services
GDO,Gold One International Ltd
GFF,Goodman Fielder
GMG,Goodman Group
